id,contents,key word,date
Enzofulgura, 那打三劑就變地球超人惹,嬌生,  27.52.154.165 09/21 22:16 
awaken, 有我們不管打幾劑保護力就是完全沒有畫面的睪端強嗎？,嬌生,   42.73.114.46 09/21 22:16 
DustToDust, 高端打第三劑應該會破百,嬌生,  61.224.28.226 09/21 22:17 
kis28519, 不要再說了，高端塔綠斑會不開心,嬌生,118.167.249.168 09/21 22:17 
missguitarwi, 他國事務,嬌生, 114.33.199.182 09/21 22:18 
ssisters, 當初沒任何疫苗說要打三劑啊 為什麼推文這麼氣嬌生二劑？ 怪了,嬌生,  121.254.99.35 09/21 22:19 
meto, 不是設定一劑全能！現在也轉彎，兩劑有抗變種？,嬌生,   1.200.70.136 09/21 22:19 
joygo, 打不完啦，之後就是半年一劑，還是趕快研發特效藥比較實在，加油,嬌生,   49.216.18.43 09/21 22:20 
wake7078, 只有嬌生自己講一劑保護力就足夠,嬌生, 123.194.179.82 09/21 22:20 
joke3547, 一定輸我們高端,嬌生,  36.230.181.63 09/21 22:20 
matlab1106, 宣稱防重症還能讓病毒繼續傳染 完美煉,嬌生,    42.75.23.63 09/21 22:21 
wake7078, 其他家沒人講  要補打 誰都可以,嬌生, 123.194.179.82 09/21 22:21 
matlab1106, 金術,嬌生,    42.75.23.63 09/21 22:21 
wake7078, 就你嬌生不行,嬌生, 123.194.179.82 09/21 22:21 
newstyle, 改成用口服的比較能擋疫情,嬌生, 49.216.222.127 09/21 22:22 
ssisters, 當初講的時候只有alpha 現在疫情都發展到哪了 拿人家過去的言論來罵也很好笑,嬌生,  121.254.99.35 09/21 22:23 
aaagang, 病毒：我們被保護住了，有94%,嬌生,  114.32.34.241 09/21 22:24 
wake7078, 沒把握就不要嘴 時空背景不同之術現在人都很會用,嬌生, 123.194.179.82 09/21 22:26 
Sergeant, 先講清楚到Omega的時候要打幾劑??,嬌生,  114.25.99.134 09/21 22:26 
wake7078, 誰知道會突變 誰又知道不會突變,嬌生, 123.194.179.82 09/21 22:27 
st002650, 高端有信仰加成，保護力999%,嬌生, 111.82.164.238 09/21 22:27 
lynchen, 塔綠班：高端可以試驗第三劑，嬌生不能打,嬌生,   1.163.38.118 09/21 22:27 
wulaw5566, 台南美國貨就是好,嬌生,    219.87.3.25 09/21 22:27 
lynchen, 第二劑,嬌生,   1.163.38.118 09/21 22:27 
jimhall, 能賺錢當然好,嬌生,   1.200.185.44 09/21 22:30 
ssisters, 台灣也沒嬌生可打 怎麼這麼氣氣氣xd,嬌生,  121.254.99.35 09/21 22:31 
geesegeese, 廣告,嬌生, 101.136.195.83 09/21 22:31 
imsphzzz, 台灣又沒買,嬌生,  114.36.211.28 09/21 22:32 
nosheep, 為啥人家都有保護力數據,嬌生, 111.82.132.255 09/21 22:33 
LoveMakeLove, 這不就是美國AZ？,嬌生,  36.226.204.61 09/21 22:33 
blueskyqoo, 打100劑 發了,嬌生, 223.137.233.23 09/21 22:34 
kinve1014, 好歹有資料 反觀高端 嘻嘻,嬌生, 36.231.132.253 09/21 22:35 
Anvec, 只打一劑有保護力 但不高,嬌生,124.155.174.232 09/21 22:37 
wake7078, 在台灣 驕生說補幾劑都站的住腳,嬌生, 123.194.179.82 09/21 22:44 
ab4daa, 高端屌打,嬌生, 125.231.41.175 09/21 22:45 
wake7078, 某EUA都能跳程序施打了  補打也就沒什,嬌生, 123.194.179.82 09/21 22:45 
ttnilozz, 怎麼跟高端比，民俗療法最高。,嬌生,223.137.119.233 09/21 22:45 
wake7078, 麼大不了,嬌生, 123.194.179.82 09/21 22:45 
santiago148, 笑死 怎麼有人這麼氣 高端仔羨慕嗎,嬌生,  42.77.222.182 09/21 22:49 
Noobungas, 喔，比az強了？那血栓呢？,嬌生,  111.71.213.89 09/21 22:55 
ultraccs, 變成比az強了,嬌生,112.105.115.236 09/21 22:58 
netio, 你終究是要打兩劑的,嬌生,175.181.143.152 09/21 23:18 
lulocke, 腺病毒載體的疫苗，先拿血栓數字出來給大家看看,嬌生,118.169.208.114 09/21 23:23 
aertina, 某黨說有跟嬌生洽談啦 不知道談到哪,嬌生,111.241.148.190 09/21 23:35 
iosian, duck book bee,嬌生,   68.49.205.34 09/21 23:38 
missile, 台灣人終究是要打高端的 2劑不夠就3劑,嬌生,  111.253.83.47 09/21 23:47 
Replly, 塔綠班： 高端可以用口服,嬌生,   220.133.4.96 09/21 23:48 
aa890051, 意思就是之前打一劑就好是騙你的，哈,嬌生, 118.161.240.26 09/22 00:04 
Leoreo, 塔綠班 哪來的外行爽身粉公司 做什麼副業,嬌生,  114.24.142.79 09/22 00:04 
aa890051, 看其他家都騙到兩劑在賺第三劑了，跟上,嬌生, 118.161.240.26 09/22 00:06 
jimmmh888, 第二劑打八卦版神疫苗科興啊,嬌生, 218.161.71.203 09/22 00:30 
alat, 塔綠班快去乞討吧,嬌生,111.250.113.169 09/22 01:23 
kkwwee, 所以在第三季可以跟台GG拚99.99%???,嬌生,   114.44.84.60 09/22 01:37 
ding0725, 政府說高端屌打  至於屌打多少我不知道,嬌生,  101.9.249.242 09/22 02:48 
wmtsung, 台灣自己不買在那邊帶什麼不賣的風向？佛光山都幫牽線了還有人在那邊裝瞎亂扯啊！還有高端拿的是鬼島EUA，不是正式藥證，不過你政府自己要打爛EUA的公信力怪誰？乖乖做第三期很難？搞好量產不要急就章很難？國外買的量產疫苗哪個送來台灣有被退貨的？,嬌生,  111.71.14.143 09/22 03:36 
etiennechiu, 嬌生可以去帛琉打,嬌生,    1.200.65.80 09/22 03:37 
aken59420, 我大民進黨買不到，沒有現貨加上中共打壓。美國最怕中國了,嬌生,  106.1.235.238 09/22 06:32 
hohohoha, 我大塔綠班政府 就是不買阿 笑死,嬌生, 218.173.154.74 09/22 06:35 
pipipa, 克拉克：Zzzzzzzzz,嬌生,223.137.231.173 09/22 06:35 
kim1998, 反正買不到,嬌生,   1.200.242.51 09/22 07:46 
biglarge,  https//i.imgur.com/bFpmOqn.jpg,嬌生,223.137.157.252 09/22 07:50 
tmuaircat, 不過同種腺病毒可重複用幾次 混AZ?,嬌生, 36.233.217.237 09/22 08:27 
hqu, 越打越多劑,嬌生,  42.77.102.159 09/22 08:43 
eedy8888, 啊又不賣，洗勒考,嬌生,163.221.126.114 09/22 08:43 
IFeelSoAlive, 嬌生才是真邊緣疫苗吧,嬌生,  111.82.83.167 09/22 08:59 
jerrylin, 以色列BNT都打到第四劑了,嬌生,  114.41.49.243 09/22 09:56 
oTQTo, 高端呢,嬌生, 111.253.32.143 09/22 09:57 
noname912301, 高不用打就有120%,嬌生, 180.218.144.29 09/22 10:13 
yesorno, 台灣嬌生怎麼還不進疫苗啊!衛福部垃圾,嬌生, 59.125.120.238 09/22 14:01 
kantoloser, 業？,嬌生,  39.10.164.119 09/21 13:18 
noah23, 記得是保護力比較低的,嬌生,  49.216.42.130 09/21 13:18 
ghghfftjack, 很好啊 只要打一次超棒的 但是沒貨,嬌生,  118.160.4.113 09/21 13:18 
ufowilliam, 祖國疫苗訊息也很少,嬌生, 111.250.228.23 09/21 13:19 
huei252, 至少有WHO認證 至少打了可以隨意出入境美國就無敵了,嬌生,  42.76.179.184 09/21 13:19 
PaulAllen2, 韓國買得到這疫苗台灣就沒有真奇怪了,嬌生, 110.28.132.152 09/21 13:20 
s860134, 他就美國貨怎可能不過美國認證= =,嬌生,  123.192.17.16 09/21 13:20 
diskdie7045, 韓國買到，到貨少啊,嬌生,   1.163.77.165 09/21 13:21 
rLks02, 就推出的晚 比較沒有競爭力市場競爭力,嬌生,  61.227.173.54 09/21 13:23 
Mazeway, 沒一個好的,嬌生, 101.12.102.223 09/21 13:25 
rLks02, mRNA的疫苗 研發速度就是比較快。美國施打的疫苗 二種是 mRNA; 第三種就是 J&JJ&J ， 非 mRNA疫苗,嬌生,  61.227.173.54 09/21 13:28 
angel902037, 李船長打嬌生,嬌生,  36.230.13.247 09/21 13:29 
k24618099, 很多人打了 不用懷疑,嬌生,  23.119.122.96 09/21 13:41 
suger77, 比生理食鹽水好,嬌生,  223.137.167.0 09/21 13:51 
yun420179, 效力跟az差不多吧 但只要打一劑所以選的人也不少,嬌生,  149.233.32.90 09/21 14:08 
ultraccs, 嬌生防重症沒mrna好 第二劑要打mrna吧,嬌生,112.105.115.236 09/21 15:28 
miuca, 美國機場就可以打,嬌生, 118.163.138.29 09/21 16:17 
jay3u7218, 希望習近平活到129歲,嬌生,   1.161.116.27 09/18 00:54 
tudou5566, 不是高端疫苗嗎？,嬌生,  111.71.32.180 09/18 00:54 
rabbit83035, 我以為梁文傑會直接反對,嬌生,   223.137.93.6 09/18 00:55 
monitor, 買疫苗怎麼會是地方政府還有民間要買的？,嬌生,  61.230.110.74 09/18 00:56 
upupchang, 你這心態不健康 已經有高端了,嬌生,   1.161.87.129 09/18 00:56 
veter, 那隻好像跟高端是同種類疫苗  不一樣的是會有數據,嬌生,   101.9.175.34 09/18 00:56 
swoosh67, 嬌生連美國都買不太到,嬌生,   73.16.70.248 09/18 00:57 
monitor, 衛福部買不到足量的疫苗應該予以彈劾,嬌生,  61.230.110.74 09/18 00:57 
rabbit83035, novavax因為量產沒搞完美 照台灣標準 應該早就可以開打了,嬌生,   223.137.93.6 09/18 00:57 
higamanami, 支持打novavax,嬌生, 220.136.204.81 09/18 00:58 
pt993526, 第三劑打novavax? 混打嗎,嬌生,    1.173.35.24 09/18 00:59 
AustinRivers, 綠議員來亂的？,嬌生, 111.248.253.35 09/18 00:59 
em4, 西瓜議員好意思？,嬌生,   39.8.226.254 09/18 01:00 
jameshcm, 應該是J&J在國外滯銷吧,嬌生, 220.143.66.207 09/18 01:01 
power5936, 阿北務實阿北可愛,嬌生, 210.61.228.199 09/18 01:01 
sincere77, 不管買mRNA或Novavax，結果中央都只准你第三劑混打高端,嬌生,  39.12.227.246 09/18 01:03 
rhox, 為什麼不支持高端？中共同路人？,嬌生,  223.140.32.99 09/18 01:03 
yulis, 專家建議novavax 所以我們直接買高端 讚喇,嬌生, 118.232.60.123 09/18 01:03 
nikewang, 日本都下單買1.5億劑Novavax了 還在買嬌生的腦袋是?,嬌生,125.129.136.133 09/18 01:04 
birdy590, 混打高端好怕怕 混打 Novavax 好棒棒?,嬌生,  115.43.53.157 09/18 01:05 
tako7905, 買屁買 到時候又有人要嫌量太多,嬌生, 106.132.82.115 09/18 01:05 
Tiphareth, 支持諾瓦克斯,嬌生, 114.41.185.160 09/18 01:05 
birdy590, 一堆吹捧的是不知道今年不會都有 EUA ?今年都不會有,嬌生,  115.43.53.157 09/18 01:06 
jameshcm, 幾個月前J&J似乎有問題 就被美國緩打了,嬌生, 220.143.66.207 09/18 01:06 
visviva, 專家不建議高端 ??,嬌生, 112.104.20.159 09/18 01:06 
nikewang, 都是棘蛋白疫苗 人家日本人寧願買,嬌生,125.129.136.133 09/18 01:07 
garcia, 哥哥通常比較優秀 不如買高端,嬌生,  111.252.126.1 09/18 01:07 
nikewang, Novavax不買高端  嗚嗚,嬌生,125.129.136.133 09/18 01:07 
kingfsg7326, 綠議員不推薦高端？？,嬌生,   1.200.22.214 09/18 01:09 
tyantmf, 這樣高端真的沒人要打了吧,嬌生, 223.139.108.19 09/18 01:11 
birdy590, 目前應該沒人有拿嬌生當第三劑的經驗,嬌生,  115.43.53.157 09/18 01:11 
eawu7777, 說要自己買又不動作,嬌生,  123.193.48.89 09/18 01:11 
Yuwuen, JJ就腺病毒 當第三劑除非一二劑也腺病毒,嬌生, 36.234.192.202 09/18 01:12 
birdy590, Novavax 就更遠 甚至今年地球上都不會有大規模施打嬌生最適合疫情緊急的時候 但時機過了,嬌生,  115.43.53.157 09/18 01:13 
s81048112, 笑死 噁爛政客柯P 果然是被網軍洗腦,嬌生,   110.30.178.0 09/18 01:15 
Filament, 看高端按照什麼規矩能到處配去混打 那Novavax比照根本沒問題 人家報告還更全面,嬌生,  114.40.164.55 09/18 01:15 
kkwwee, 還好我們有雙胞胎弟弟,嬌生,   114.44.74.93 09/18 01:16 
birdy590, Novavax 現在還是空氣 真的等它才是傻了,嬌生,  115.43.53.157 09/18 01:16 
venomsoul, https//youtu.be/fek9oZ2Rs-0,嬌生, 122.118.107.70 09/18 01:17 
birdy590, 如果你有本錢等一個疫苗足足超過一年,嬌生,  115.43.53.157 09/18 01:20 
h80733, 第二劑也是空氣啊，第三劑準備剛好,嬌生, 36.224.194.148 09/18 01:20 
vvw5555, 梁今天如果跟柯說買N，柯就會說專家建議,嬌生,118.170.191.238 09/18 01:20 
birdy590, 那可能代表你根本不需要它,嬌生,  115.43.53.157 09/18 01:20 
vvw5555, 買嬌生了,嬌生,118.170.191.238 09/18 01:20 
birdy590, 五月份就有人提過嬌生 它生不出貨來~只需要打一劑 對某些國家是很有吸引力,嬌生,  115.43.53.157 09/18 01:21 
tim32142000, 中央分配,嬌生,  111.243.26.41 09/18 01:21 
birdy590, 沒有一開始就下訂才是奇怪的事情,嬌生,  115.43.53.157 09/18 01:21 
tim32142000, 請問有原廠授權書嗎？,嬌生,  111.243.26.41 09/18 01:22 
Blue6, 應該沒議員敢反對吧,嬌生,114.137.166.101 09/18 01:23 
tim32142000, 跟高端同是蛋白質次單元，有人不太喜歡,嬌生,  111.243.26.41 09/18 01:23 
instarleo, nova還沒EUA就想買 我伯慈悲 小心陷阱,嬌生,   114.38.4.140 09/18 01:23 
birdy590, 100% 肯定今年不會有 擔心啥?,嬌生,  115.43.53.157 09/18 01:24 
Doub1eK, 這什麼爛議員推薦嬌生 唯一支持高端好嗎,嬌生,   110.26.69.92 09/18 01:24 
birdy590, 丟這種根本沒意義的議題出來到底想幹嘛沒過多久 怎麼佛光山的事這麼快就忘了?!嬌生和 Novavax 的共通點 今年保證沒有,嬌生,  115.43.53.157 09/18 01:27 
BLINKPTT, 塔綠班滾去打高端,嬌生,   27.246.65.40 09/18 01:30 
Tiphareth, 北市準備的是第三劑的事情我看明年也沒辦法打完二劑吧...,嬌生, 114.41.185.160 09/18 01:35 
mapleleaf052, 塔綠班怎麼不推高端,嬌生,223.140.245.213 09/18 01:41 
joygo, 這個真的最棒,嬌生,    1.161.89.65 09/18 01:45 
now99, 講得沒錯啊,嬌生,   1.169.84.225 09/18 01:46 
cccwahaha, 這篇...其實梁跟柯都沒啥問題吧,嬌生, 118.160.49.106 09/18 01:48 
hw102050, 到時候柯買到綠蟑不要打,嬌生, 220.135.113.52 09/18 01:51 
jshuang, 嬌聲不就出國用疫苗,嬌生, 111.243.45.101 09/18 01:52 
zxela, 想到光頭院長只會說買不到冷凍G腿,嬌生, 49.159.178.231 09/18 01:53 
kevinwphard, 台灣待久以為專家只會推薦高端,嬌生,  111.254.0.139 09/18 02:00 
hw102050, 相信北市府的效率 有經費一定買得到不過現在好像沒有打N的報告只要你能買到 對比無能的綠共整個就可以洗臉洗爽爽了,嬌生, 220.135.113.52 09/18 02:13 
cmid05, 中央說放了會過期，還跟中央併個屁單,嬌生, 111.83.187.159 09/18 02:19 
auxiliary11, 基進只推薦國產,嬌生,  36.239.100.73 09/18 02:19 
sheep922420, 講的好像中央真的會讓北市買一樣,嬌生,    1.172.95.53 09/18 02:21 
han77920, 支持高端前先支持國道警察開luxgen,嬌生,  114.47.22.169 09/18 02:22 
porter7, 這些議員怎麼不推高端？！,嬌生,  36.234.121.28 09/18 02:35 
stvn2567, 卡的時候就不敢說,嬌生, 123.194.161.20 09/18 02:39 
iopjklbnm, 今年沒有又沒關係  北市是要採購第三劑  現在第二劑都才打5%  如果照二三劑之間要間隔8個月來算  那明年下半年甚至年底再來都能剛好趕上如果明年年底高端有了三期報告以及混打數據  那我也會支持把高端納入選項至於現在  他不應該出現在任何的討論才對,嬌生,  128.4.128.129 09/18 02:42 
JJJZZs, 塔綠班最沒資格出聲,嬌生, 111.252.107.80 09/18 03:01 
superya, 無恥的時鐘會買高端,嬌生,    101.10.1.64 09/18 03:17 
WDW0604, 我想買兩劑，一起合併吧,嬌生,220.133.225.211 09/18 03:18 
lime1207, 哈哈。阿北有做功課,嬌生, 120.119.126.41 09/18 03:19 
IamBuki, 柯文哲不是很懂疫苗？他老婆不是兒科？幹麻問專家 一下BNT一下Novavax 直接問Ben想要的哪一種啦 不要演了,嬌生,   112.78.89.23 09/18 03:37 
Cecicly, 彈劾衛福部？期待這個監察院算了吧…別白費心力,嬌生,  49.216.42.107 09/18 03:59 
ssisters, 衛福部買不到足量的疫苗應該予以死刑,嬌生,  121.254.99.35 09/18 04:41 
h2000137, 真的要買再來說,嬌生, 220.143.66.103 09/18 04:51 
glender, 等北市真的要買時，再用程序卡它,嬌生,  111.82.94.109 09/18 04:54 
scum5566, 嬌生這種爛東西也只要dpp想去搶 幹,嬌生,  114.41.54.108 09/18 04:57 
usercode, 白癡才跟中央併單，千萬別聽酒店傑的,嬌生,   42.77.21.219 09/18 05:04 
dinotea, 政客真的把人民當白X,嬌生, 101.136.171.48 09/18 05:44 
observer0117, Novavax不錯，但沒拿到FDA完整許可之前，應該很難進來,嬌生,  114.35.225.56 09/18 05:46 
hohohoha, Novavax不太可能 直接對幹台慘ㄟ,嬌生, 220.142.200.31 09/18 05:54 
higo777, 一樣要被中央發放,嬌生,   42.74.170.20 09/18 05:56 
hohohoha, 要看塔綠班買什麼 目前莫確定 AZ洽談只有BNT沒明確回應,嬌生, 220.142.200.31 09/18 05:57 
gusser, 推柯p,嬌生, 59.127.206.124 09/18 06:01 
abc55643, 塔綠班會建議買高端,嬌生,  118.232.5.239 09/18 06:03 
ASANKIN, Novavax 從機制來看是高端升級版也有保護力數據，買得到的話是不錯啊,嬌生,  42.72.233.165 09/18 06:29 
