id,contents,key word,date
funkD, 再問就是居心叵測,聯亞, 111.71.214.129 09/16 11:23 
HatanoKokoro, 這個記者的文筆是怎麼了,聯亞,223.139.250.202 09/16 11:23 
werqq, 這個問題不健康,聯亞,223.140.185.135 09/16 11:24 
jerrykyo, 道歉一次不夠 要再道歉第二次嗎,聯亞,    1.34.210.83 09/16 11:24 
pttxo, 高端都打入幾十萬人了 太多意見會造成恐慌,聯亞,  114.45.77.225 09/16 11:24 
Aqqqa, 貴公司是不是什麼都照規矩來?,聯亞,  163.25.94.210 09/16 11:24 
DORAQMON, 要查查有無回扣？？,聯亞, 180.217.46.180 09/16 11:24 
phina005, 同樣是國產藥，高端仔會進攻嗎,聯亞,223.139.166.154 09/16 11:24 
js52666, 誰叫你不聽話 不給你菜渣吃了,聯亞,  118.170.38.68 09/16 11:24 
gowet, 陪考的去旁邊玩沙，真以為有本事阿?,聯亞,  1.175.157.113 09/16 11:24 
fufufugogogo, 笑死 不然你要投國民黨,聯亞,   180.217.3.45 09/16 11:25 
a8330028, 印象中好像說是不同實驗室 所以不能比較,聯亞,  111.248.13.85 09/16 11:25 
ChenYenChou, 蓋牌組織好恐怖 比KMT黑箱還黑 連箱,聯亞, 180.217.36.105 09/16 11:25 
VenceYen, 了!還有人幫你護航,聯亞, 120.119.176.47 09/16 11:25 
ChenYenChou, 子都不給你 就不用黑箱了,聯亞, 180.217.36.105 09/16 11:25 
scott032, 3+11會議紀錄也不公布 神秘政府,聯亞,  1.172.107.139 09/16 11:25 
frlair, 你這種心態很不健康~Duck不嗶~,聯亞,  124.199.97.84 09/16 11:26 
JonBrockman, 聽說黑水很厲害？！真的嗎,聯亞, 223.137.111.67 09/16 11:26 
jerrylin, 直接拼國外上市吧  台灣只接受高端,聯亞,  114.38.216.77 09/16 11:26 
yenyen0403, 新試劑扶英戰士還真鐵齒,聯亞,223.139.228.151 09/16 11:26 
NagoyaOsaka, 真的過敢打國產的還是少數啦,聯亞,223.137.219.171 09/16 11:27 
tensan, 可憐沒受寵愛,聯亞, 114.137.75.194 09/16 11:27 
smartyuber, 這問題很不健康,聯亞,  27.247.34.186 09/16 11:28 
whitenoise, 聯亞你完蛋惹,聯亞,223.139.172.101 09/16 11:28 
daniel3658, 覺醒817最討厭黑箱了齁,聯亞,   117.56.55.45 09/16 11:28 
jeff12280, 滾動式調整,聯亞,220.133.116.182 09/16 11:29 
harry155007, 蒸丸 不可能過了,聯亞,150.116.126.135 09/16 11:29 
t81511270, 聯亞 你壞壞,聯亞,     1.168.46.3 09/16 11:29 
menshuei, 你還是放棄改作別的吧,聯亞,  180.217.15.93 09/16 11:29 
kidd085, 聯亞不要在那居心叵測,聯亞,  111.83.77.225 09/16 11:29 
Mradult, 聯亞到底想不想過EUA？跟政府開戰,聯亞, 111.82.112.190 09/16 11:30 
kelia3003, 党说的算,聯亞,  211.21.77.234 09/16 11:30 
jilluck, 這不是黑箱什麼才是黑箱,聯亞,  59.104.32.107 09/16 11:30 
amazingwow, 居心叵測 duck不必,聯亞, 111.81.104.189 09/16 11:30 
ajemtw, 高端EUA就是笑話，你聯亞乖乖做三期有這,聯亞,   104.129.16.8 09/16 11:30 
DON3000, 出征,聯亞, 180.217.144.87 09/16 11:30 
ajemtw, 麼難嗎,聯亞,   104.129.16.8 09/16 11:30 
askey, 不要太不滿,聯亞, 111.246.169.41 09/16 11:31 
imsasage, 党治國之下 你沒有党證了話還是算了,聯亞,223.141.213.254 09/16 11:31 
knight831022, 你這問題居心叵測,聯亞,   114.45.33.37 09/16 11:31 
sagarain, 好了啦,聯亞,111.241.208.231 09/16 11:31 
PKmos, 質疑專業的猜測大可不必,聯亞,  42.77.121.130 09/16 11:31 
ajemtw, 把三期做完再來打臉高端仔好嗎？不要同流合污,聯亞,   104.129.16.8 09/16 11:32 
simultaneous, 不是不公布 是還沒公布而已,聯亞, 110.26.226.241 09/16 11:32 
ticy, 皇上心眼很小， 要被熱心民眾檢舉到死了,聯亞,  101.12.100.75 09/16 11:33 
hoodi, 英粉：不要太不滿,聯亞,  42.72.177.218 09/16 11:34 
a17938520, 再問就是居心叵測啦,聯亞, 111.82.143.239 09/16 11:34 
littlelinsyu, 聯亞你就自己花錢做三期吧,聯亞,  101.9.200.150 09/16 11:34 
lingsk, 聯亞不如去做好三期 若能做成功再來講,聯亞, 114.42.138.233 09/16 11:35 
tim32142000, 聯亞加油,聯亞,  111.243.26.41 09/16 11:35 
AustinRivers, 777777,聯亞,  39.12.231.116 09/16 11:35 
piece1, 可憐的老二!,聯亞,  112.78.79.121 09/16 11:35 
AustinRivers, 乖乖做三期打臉高端不是很好嗎,聯亞,  39.12.231.116 09/16 11:35 
wald5566, 蓋牌蓋起來,聯亞,114.136.167.179 09/16 11:35 
s762ok, 這樣不健康,聯亞,104.156.111.181 09/16 11:36 
a3021214, 我要看到血流成河.jpg,聯亞,   27.246.65.83 09/16 11:37 
RedLiam, 意不意外 開不開心,聯亞,   1.200.242.88 09/16 11:37 
scum5566, 聯亞敢懷疑黨??,聯亞,  114.41.55.169 09/16 11:38 
fytarge, 感覺聯亞要被偉大的政府硬幹掉了==,聯亞,   223.138.73.6 09/16 11:38 
WoaVoa, 現在有哪些是公開的？你這樣說很不健康,聯亞,223.137.167.241 09/16 11:39 
ptt80357, 粗暴的言論大可不必,聯亞,  1.174.214.166 09/16 11:39 
popteamepic, 居心叵測,聯亞,    49.216.8.18 09/16 11:39 
kis28519, 吃相難看,聯亞,  118.160.3.212 09/16 11:40 
promise2003, 得罪方丈還想過?,聯亞,  118.171.62.84 09/16 11:40 
a177542016, 想太多,聯亞,223.136.182.175 09/16 11:41 
turbomons, 哪裡都有國防布,聯亞,  223.136.33.13 09/16 11:41 
kr97123, 質疑的言論大可不必,聯亞,123.193.133.208 09/16 11:42 
fripSide, Duck不公布,聯亞,  110.28.37.185 09/16 11:42 
jipq6175, 哈哈黑箱 連數據有沒有都是問號,聯亞,   24.62.60.234 09/16 11:43 
Vassili242, 粗暴言論duck不必，要黨公開資料是很不健康的態度，根本居心叵測,聯亞,  223.137.93.20 09/16 11:43 
notneme159, 幫高調,聯亞,   111.71.93.57 09/16 11:44 
aquawind, 粗暴言論duck不必,聯亞,223.139.255.191 09/16 11:44 
JJJZZs, 水很深,聯亞,220.132.216.204 09/16 11:46 
zaqmlp, 誰叫你不姓黨，笑死,聯亞,223.136.203.121 09/16 11:47 
james575043, 粗暴言論DUCK不必,聯亞,  114.43.56.206 09/16 11:47 
fangio, 可憐那，不是黨親生的就不要爭了,聯亞,  61.216.88.223 09/16 11:48 
ju06080719, 粗暴懷疑duck boo bee 不要太不滿,聯亞,114.136.119.207 09/16 11:48 
airlon, 58樓對 我會投國民黨,聯亞,  101.137.0.238 09/16 11:48 
zangif, 聯亞生技是不是被中資入侵阿？居然質疑政府,聯亞, 111.240.45.252 09/16 11:49 
mynews, 沒過就沒過還吵啥小 去做你的三期啦幹,聯亞,  223.138.71.81 09/16 11:49 
atmcola, 過幾天聯亞還不是會乖乖跪下去,聯亞,220.130.223.177 09/16 11:50 
a410046, 可憐哪,聯亞, 223.137.89.150 09/16 11:51 
yyan1218, 聯亞又想被道歉了484,聯亞, 123.194.153.42 09/16 11:51 
Tiphareth, 聯亞想要過EUA所以在討數據 這數據其實應該要公開的吧?,聯亞,123.240.211.188 09/16 11:52 
superfoxy, 塔綠班的機密文件,聯亞, 125.228.93.146 09/16 11:53 
xfaw4d35t, 國外通過後再回來台灣吧,聯亞, 60.244.116.139 09/16 11:53 
todd7788, 衛服布蓋起來，黑箱疫苗，黑箱會議,聯亞, 36.239.101.205 09/16 11:53 
Sacral, 這個言論不健康,聯亞,  118.163.63.49 09/16 11:54 
EFPTT, 聯亞是不是想被粗飽 ，這麼勇敢,聯亞,  1.200.253.133 09/16 11:55 
devidevi, 聯亞還想過EUA就閉嘴...,聯亞,   203.77.48.47 09/16 11:56 
JUSTMYSUN, 齁 抓到 聯亞心態不健康 300謝謝,聯亞,   116.59.90.37 09/16 11:56 
aa890051, 聯亞協助監督政府，哈哈,聯亞,  114.137.44.35 09/16 11:56 
BoyceChu, 飛帆哥在哪呢,聯亞,     1.200.7.29 09/16 11:56 
cscst, 我覺得批評成這樣更有玄機,聯亞,  110.26.68.139 09/16 11:56 
pippen2002, https//i.imgur.com/spPlGHI.jpg 騙?,聯亞,  203.75.79.118 09/16 11:58 
mmchen, 敢跟塔綠班做對是不想過EUA了嗎,聯亞,   39.8.163.182 09/16 11:58 
soarling, 哈哈,聯亞,114.137.113.179 09/16 11:59 
dovepacket, 聯亞   不愛嘍,聯亞, 49.217.254.177 09/16 11:59 
source0209, 被政府黑箱,聯亞,  223.140.32.17 09/16 12:00 
y30048, 笑死對照組可以不公開 都我說了算，難怪東洋製藥不淌這混水,聯亞,    39.9.39.229 09/16 12:00 
loveapple33, 塔綠班高端聖蟑腥試劑扶陰佔士參戰,聯亞,  59.124.12.187 09/16 12:01 
glassfish, 粗爆的要數據Duck不必,聯亞,223.137.102.176 09/16 12:01 
illya65536, wwwwwww,聯亞,  61.70.217.139 09/16 12:01 
nickflying, 聯亞始終不是高端 沒後門走,聯亞,  39.10.166.164 09/16 12:02 
Plants, 數據Duck不必,聯亞, 60.248.179.113 09/16 12:04 
asada1l, 居心叵測,聯亞,  59.125.190.97 09/16 12:04 
god890529, 居心叵測,聯亞,  114.37.219.11 09/16 12:07 
xeroxpipi, 粗暴的言論Duck不必,聯亞,  101.9.201.114 09/16 12:07 
dennis7653, 陪考的刷什麼存在感，你爸爸是？,聯亞,  60.250.28.253 09/16 12:08 
coffee112, 摳連喔,聯亞,118.171.173.166 09/16 12:10 
a12124477, 掰 不是親兒子請你離開,聯亞,223.136.106.227 09/16 12:12 
Oisiossos, https//i.imgur.com/AMbSYVB.jpg,聯亞, 180.217.37.134 09/16 12:13 
awheaton311, 聯亞就是拿來襯托高端的渣渣,聯亞,   42.77.83.173 09/16 12:13 
LoliCar, 恐怖情人 沒過關死命黑,聯亞,   49.216.20.31 09/16 12:15 
monkey6, 可憐啊 不是親兒子就是慘,聯亞,  1.164.221.124 09/16 12:16 
TPEE, 聯亞做的比高端好嗎？要不然弄掉它幹嘛,聯亞,  59.125.100.42 09/16 12:17 
bbs0840738, 政府護高端阿 聯亞下去好嗎,聯亞, 110.28.228.238 09/16 12:18 
pipipa,  https//i.imgur.com/bvC4Qpd.jpg,聯亞, 210.61.151.140 09/16 12:18 
f30607, 看來根本不是扶植國產 是扶植特定廠商,聯亞,   39.12.228.37 09/16 12:20 
SY082022, 敢嘴塔綠班,聯亞,180.217.141.100 09/16 12:20 
operation, 哭哭喔 關係沒打好 沒肉吃,聯亞,   1.162.14.146 09/16 12:21 
zxasqw44, 聯亞怎麼愈看愈像當年的賴清德~,聯亞, 114.26.200.181 09/16 12:23 
now99, 台灣價值,聯亞, 114.136.145.60 09/16 12:23 
tim32142000, https//i.imgur.com/eyZL63v.png,聯亞,  111.243.26.41 09/16 12:24 
xfile, EUA的規則在那邊 達不到就摸摸鼻子去做三期等兩年後結果再出來嗆,聯亞,124.219.100.137 09/16 12:24 
coubala, 推,聯亞,  42.73.196.205 09/16 12:27 
LoCKeR941010, 看來下次審查又不會過了 可憐哪,聯亞, 220.133.47.197 09/16 12:27 
lunatich, 他可以你不行,聯亞,220.129.200.163 09/16 12:30 
ZhouGongJin, 沒有玄機，評選標準就是顏色。這不是路邊小學生都知道的事,聯亞,  111.82.23.140 09/16 12:34 
jakewu1217, 他可以你不行,聯亞, 36.227.138.236 09/16 12:34 
supertalker, EUA的標準是先射箭再畫靶，為了高端特別訂做的規則，肯定可以過的,聯亞, 59.120.172.196 09/16 12:36 
CTUST, 難怪國光那時候就不淌混水 業界混夠久,聯亞, 223.137.147.28 09/16 12:37 
supertalker, 小學生都知道政府護航又圖利高端,聯亞, 59.120.172.196 09/16 12:37 
Asucks, 聯亞就得罪了方丈啊~~,聯亞, 60.250.250.214 09/16 12:39 
fg008kimo, 聯亞問這些問題  很不健康,聯亞,118.163.125.187 09/16 12:39 
ksjr, 看一下自己的顏色後再發言好嗎,聯亞,   99.31.75.223 09/16 12:41 
b90022790, 派系錯了 只能跟你說掰掰囉！,聯亞,122.118.124.226 09/16 12:41 
david987, 粗暴的言論 duck不必,聯亞, 114.137.120.87 09/16 12:41 
VincentZeda, 妳口罩戴這樣還是不要出來丟臉下去,聯亞,  210.68.37.192 09/16 12:41 
skizard, 垃圾政府搞黑箱,聯亞, 49.217.128.238 09/16 12:42 
cityport, 塔綠班快出征,聯亞, 107.77.204.225 09/16 12:43 
shuuptt, 聯亞直接爆料出來不就好了,聯亞,   59.125.46.41 09/16 12:44 
AngelMAyCry, 聯亞這種腳踏實地的反而被搞，劣幣驅逐良幣,聯亞,    36.81.14.18 09/16 12:46 
b891313,  https//i.imgur.com/vRBFOuA.jpg,聯亞,114.136.176.104 09/16 12:48 
FiveSix911, 沒有台灣價值 幫QQ,聯亞,   27.247.33.78 09/16 12:49 
Jarden, 粗暴言論duck不bee,聯亞,   42.73.226.50 09/16 12:51 
josephbb65, 看高端賺成那樣 聯亞連肉湯都吸不到,聯亞,  111.83.71.180 09/16 12:57 
k078787878, 笑死,聯亞,  223.137.253.7 09/16 12:59 
Hsinxyzzyx, 塔綠班不養自己人 難道養韭菜？,聯亞,123.110.207.219 09/16 12:59 
alat, 塔綠班黑箱幹掉聯亞，QQ,聯亞,  1.200.252.209 09/16 12:59 
lulocke, 你這個懷疑很不健康,聯亞,118.169.208.150 09/16 12:59 
neoa01, 水很深  你沒台灣價值嗎,聯亞,223.140.228.209 09/16 13:00 
SUZUKI5566, 可憐啊,聯亞,122.116.238.191 09/16 13:00 
rufugy, 分贓不均  聯亞狗咬塔綠狗  看誰是最後贏家,聯亞,  210.64.75.125 09/16 13:01 
tengfan, 講什麼都沒用，先找其他出路吧..,聯亞, 223.140.52.255 09/16 13:01 
knight0123, 口罩戴這樣...另外誰叫你不夠高端!,聯亞,   36.226.8.203 09/16 13:02 
a00049g, 聯亞一定4中共同路人,聯亞,  39.11.100.226 09/16 13:02 
haniah, 蓋牌組織xd,聯亞,    49.216.50.1 09/16 13:02 
SRadiant, 聯亞那數據，不想做三期很正常啊XD標準已經訂超寬了，結果還能不達標，再來說標準不好，不難看？,聯亞, 223.137.191.26 09/16 13:04 
driftingjong, 唉 真正創新的 只能在募資從國外打回來了,聯亞,223.137.125.159 09/16 13:09 
Ooxxeeoo, 同樣是國產待遇差真多，背後有什麼呢？,聯亞,    42.77.97.95 09/16 13:09 
nagilaman, 說好扶植國產  結果兩邊差這麼多XD,聯亞,   36.237.0.213 09/16 13:10 
niniikoski, 很符合雙標黨塔綠班作風,聯亞, 223.137.38.166 09/16 13:12 
zo789652, 垃圾政府,聯亞,118.165.154.199 09/16 13:13 
mareatbo, 三歲小孩都知道有鬼，就政府還在裝死,聯亞,   114.136.8.44 09/16 13:15 
KComingYa, 公布大概就出事吧,聯亞,  60.251.209.48 09/16 13:16 
catvsdog, 誰叫你台灣價值儲值不夠,聯亞,  110.30.73.219 09/16 13:17 
GRANDIAZERO, 慘... 沒人疼,聯亞,   42.72.120.35 09/16 13:17 
asidy, 可憐，連who都實驗都沒有,聯亞, 175.180.67.226 09/16 13:18 
shakesper, 陪榜的還想出風頭 可惜了,聯亞,   39.9.198.242 09/16 13:18 
ezqq123, 蓋牌組織 塔綠班,聯亞,  39.13.129.117 09/16 13:21 
sk6,  https//i.imgur.com/2z85XtC.jpg,聯亞,180.217.234.247 09/16 13:21 
mhnl, 執疑政府duck 不必,聯亞,  49.217.46.113 09/16 13:23 
OGC218, 所以聯亞做不做的出來啊！？,聯亞,    49.216.48.1 09/16 13:23 
gg86300, 咬起來 咬起來,聯亞, 175.98.141.254 09/16 13:25 
mono1023, 聯亞都覺得不對勁 笑死,聯亞,  112.78.66.200 09/16 13:32 
partake, 現在才發現誰是庶出誰是嫡出會不會太晚從一開始就差別待遇到現在還不懂嗎？,聯亞, 114.27.126.207 09/16 13:35 
winnerdinner, 聯亞你還不懂塔綠班,聯亞, 60.251.139.141 09/16 13:35 
partake, 真以為陪公子讀書久了就不用當書僮？,聯亞, 114.27.126.207 09/16 13:37 
sarspieya521, 水太深,聯亞, 111.82.193.109 09/16 13:38 
lsslz, 放棄啦 跟黨撕破臉了還想過 連國際認證疫苗黨都能不要臉的硬卡了,聯亞,220.130.152.117 09/16 13:39 
pudge, 水太深了 聯亞加油啊,聯亞, 223.139.19.178 09/16 13:39 
hfiehfkjw, 就問不公布,聯亞, 111.71.116.124 09/16 13:41 
jay1233560, 沒有黨的青睞再多的努力都一樣,聯亞,  36.237.183.83 09/16 13:42 
totomo168, 聯亞 我的覺得怪怪der,聯亞, 61.220.222.229 09/16 13:42 
justiceyes, 可憐啊，誰叫你不是自己人,聯亞, 220.137.32.164 09/16 13:44 
k798976869, 沒黨證的滾啦,聯亞, 123.110.17.106 09/16 13:45 
letmesee3085, 嘻嘻嘻,聯亞,   1.200.36.191 09/16 13:45 
hsiao15165, 等等妳就要道歉了,聯亞,  220.138.50.31 09/16 13:47 
ClutchShot, 水太深 聯亞加油,聯亞,  36.233.252.18 09/16 13:51 
voyage0917, 漢奸疫苗的手腕屌打所有數據,聯亞,  111.71.69.102 09/16 13:53 
holydc, 蓋牌組織 XDDDDD,聯亞,223.137.195.111 09/16 13:56 
foxbrush, 乖乖做三期吧，國產疫苗需要有個乖乖做三期的例子,聯亞,   27.242.42.33 09/16 13:58 
manjay, 希望聯亞能咬出一點真相,聯亞,    203.69.6.99 09/16 14:09 
qaz19wsx96, 好了啦..連最簡單的標準都過不了還來,聯亞,    8.39.126.92 09/16 14:11 
griffiths, 黑箱啊,聯亞,  42.75.203.149 09/16 14:12 
auxiliary11, 哇靠中共同路人,聯亞,  36.239.100.73 09/16 14:15 
rfire, 為啥不公布?,聯亞,  36.226.163.94 09/16 14:19 
aa2425, AZ一劑1、200  高端一劑881 幹 三洨,聯亞, 180.217.40.166 09/16 14:24 
jlincredible, 蓋牌蓋起來,聯亞, 180.217.23.197 09/16 14:30 
catvsdog, 質疑塔綠班蓋牌組織duck bubee,聯亞,  110.30.73.219 09/16 14:31 
yymeow, 國防布 衛福布,聯亞,  125.227.33.45 09/16 14:46 
susanna026, 覺得 大概 整個黑箱吧？,聯亞,223.136.103.226 09/16 14:56 
ggttoo, 蓋牌組織XDD,聯亞,  112.105.52.55 09/16 14:59 
KDGC, 我對國產的聯亞比較有信心 中央卻一直在卡,聯亞,  123.204.13.44 09/16 15:02 
abobstar, 聯亞也受不了了 希望這次別再被摸頭,聯亞, 218.173.223.34 09/16 15:05 
dk2ftrmrn, 公開不透明,聯亞,  111.82.221.99 09/16 15:07 
z2525113, 聯亞這樣居心剖測哦～,聯亞, 114.26.109.126 09/16 15:30 
Arnol, 中共同路人~,聯亞,   61.223.34.75 09/16 15:31 
PigBlood, 綠共不意外,聯亞, 114.136.182.50 09/16 15:32 
lucas, G心叵測,聯亞,  1.174.211.210 09/16 15:34 
nolovemore, 你們家坦賴中共同路人都被打死了還不乖乖認命投降,聯亞,114.137.152.113 09/16 15:49 
dermis, 粗暴的言論  居心叵測,聯亞, 111.248.68.126 09/16 15:49 
colenken, 餵符部就是猛,聯亞, 114.44.114.180 09/16 15:53 
RLH, 好可憐,聯亞,114.136.176.159 09/16 15:57 
runedcross, 這就對了 燒起來,聯亞,122.116.128.166 09/16 16:00 
Qua3small, 更加凸顯 高端&政府 之間的深厚情誼w,聯亞, 116.89.128.149 09/16 16:24 
wate5566, 粗暴的猜忌Duck不必,聯亞,   27.246.0.230 09/16 16:25 
ichool, 直接衝國外了啦，回來再洗臉CDC,聯亞, 139.223.23.125 09/16 16:30 
Alllllogo, 加油,聯亞,  110.26.41.101 09/16 16:32 
fishsunfish, 這樣問很不健康,聯亞,   1.162.67.162 09/16 16:32 
Coslate, 塔綠班蓋牌組織,聯亞,114.137.133.181 09/16 16:33 
s6525480, 聯亞比喻為台灣 政府就是美國,聯亞, 114.136.208.24 09/16 16:42 
mido, 你這種想法很不健康,聯亞,  61.216.75.230 09/16 16:45 
RedOrtiz, 不是不公布只是還沒公布 這問題不健康,聯亞,  42.72.203.250 09/16 16:48 
AAsoon, 粗暴言論duck不必一路護航高端到底。,聯亞, 180.217.70.122 09/16 16:54 
aimlikenoob, 跟科興一樣又謎又黑，但科興東南亞國家會買，高端連送鄰國都沒人收,聯亞,  49.216.49.252 09/16 17:27 
usercode, duck不必,聯亞,  111.71.31.140 09/16 17:29 
leondemon, 一定沒疏通官員 不然就是太少包,聯亞,    39.10.30.56 09/16 17:38 
starfishfish, 超扯,聯亞,  111.82.48.228 09/16 17:43 
jamessytba, 王家沒！有！輸！,聯亞,114.136.219.116 09/16 18:05 
clone29, 朝中無能人，看不懂要怎麼比較啦,聯亞,   101.9.202.15 09/16 18:47 
KenHorse, 塔綠班：不是不公布 是還沒公布而已,聯亞,     219.85.0.9 09/16 18:57 
maplepon, 聯亞輸慘誒,聯亞,    42.73.78.57 09/16 19:17 
XXXXSOW, 不健康的心態,聯亞, 123.194.169.72 09/16 19:19 
max005, 你還敢嘴啊 你的EUA又要過不了摟,聯亞,  114.43.139.95 09/16 19:31 
