contents,key word
CHO又運了40萬碗雙響砲來餵飽台灣人 享用吧,AstraZeneca
覺青快點抵制CHO的疫苗啦,AstraZeneca
覺青狂罵CHO 結果最後還是要靠CHO,AstraZeneca
小粉綠快點謝謝CHO 糖衣毒藥好吃 站著舔起來,AstraZeneca
CDC進的不打，等北市府進貨,AstraZeneca
還是黑人CHO給的,綠共好丟臉
黑人公開譴責台灣網路攻擊他，還以德報怨,AstraZeneca
覺青最後還不是要靠中國,AstraZeneca
台灣走運，內有雙北首長抗疫，外有CHO和拜登救急,AstraZeneca
.....,阿斯特捷利康
會讓你一直高潮,阿斯特捷利康
你他媽的沒有女友 不要幻想,阿斯特捷利康
很會做飯做家務的普妹,阿斯特捷利康
………你給我阿肥文靈感了,阿斯特捷利康
戴假屌把屁眼肛個花開富貴的女友,阿斯特捷利康
任勞任怨的糟糠之妻,阿斯特捷利康
mRNA第二劑，副作用更大吧,阿斯特捷利康
英瑞混血的洋妞,阿斯特捷利康
躺著等她開火車輾過，來回兩次,阿斯特捷利康
英國足球流氓,阿斯特捷利康
脾氣不好但盡責實在的普妹,阿斯特捷利康
對處男肥宅充滿大愛，願意被白嫖的那種,阿斯特捷利康
脾氣很差的正妹,阿斯特捷利康
傲嬌,阿斯特捷利康
個性差普妹但至少上的到,阿斯特捷利康
英國眼睛妹,阿斯特捷利康
眼鏡娘,阿斯特捷利康
我的超人女友的G girl,阿斯特捷利康
讓人想外遇的女孩,阿斯特捷利康
一架遺失可是很病嬌的老婆,阿斯特捷利康
趁你睡覺時瘋狂幹你 等你有精神又變回死魚,阿斯特捷利康
畫個VT取名叫阿斯特傑利康不知道會不會,阿斯特捷利康
被告,阿斯特捷利康
只對年輕人熱情,阿斯特捷利康
脾氣不好但還會處理好所有事的好女人,阿斯特捷利康
普妹個性差,阿斯特捷利康
家世清白不做作勤儉持家的好女孩,阿斯特捷利康
但是有罕見機率心情不好會捅死你,阿斯特捷利康
阿斯特捷利康是俄羅斯女孩還是日,阿斯特捷利康
本女孩？,阿斯特捷利康
會有某群人一邊罵她破麻一邊偷追她,阿斯特捷利康
這群人電視上嗆得跟垃圾一樣 私下又偷偷,阿斯特捷利康
約 而且還是靠走後門才能約,阿斯特捷利康
當然是吃喜歡的食物,阿斯特捷利康
去反省一下~~有最好的高端不打,阿斯特捷利康
瘋狂做菜   12小時妳就知道了,阿斯特捷利康
吃止痛藥,阿斯特捷利康
推文沒尻尻我尻給你看,阿斯特捷利康
吃到飽,阿斯特捷利康
肚子像破洞一樣吃不飽,阿斯特捷利康
先說沒微醺感 嗅覺也不會變敏銳,阿斯特捷利康
rip,阿斯特捷利康
寫遺囑,阿斯特捷利康
可是才第一劑,阿斯特捷利康
等12小時準備頭痛、肌肉痛、發燒，準備,阿斯特捷利康
瘋狂連結,阿斯特捷利康
好止痛藥吧！,阿斯特捷利康
衝進北部某高職打球,阿斯特捷利康
瘋狂尻槍,阿斯特捷利康
剛過25小時 一個建議：別高興的太早,阿斯特捷利康
塔位或者cosplay 因為紅眼不用戴隱眼,阿斯特捷利康
https//i.imgur.com/tTBCrBC.jpg,阿斯特捷利康
普拿疼,阿斯特捷利康
還是會確診,阿斯特捷利康
先寫遺書,阿斯特捷利康
參加馬拉松,阿斯特捷利康
就好吃好睡好健康啊,阿斯特捷利康
D槽設個保全，太久沒登入會自己銷毀。,阿斯特捷利康
8~12小時候你體內免疫系統就要實彈演習了,阿斯特捷利康
我剛買了牛排套餐 然後開冷氣 躺在床,阿斯特捷利康
現在正在移防集結中,阿斯特捷利康
上耍廢,阿斯特捷利康
買保險,阿斯特捷利康
準備藍色包裝普拿疼，相同學名藥也可以,阿斯特捷利康
雞排攤點個500元慶祝一下,阿斯特捷利康
免疫細胞：真是沒事找事的主人,阿斯特捷利康
打報懶覺辣 比我先打的都打報懶覺,阿斯特捷利康
藍色包裝普拿疼是啥,阿斯特捷利康
亨 希望你拉肚子拉到我打的那天,阿斯特捷利康
躺在床上, 享受被卡車撞上的快感
先尻 免得隔天手像被車撞,阿斯特捷利康
比我先打的都要拉肚子,阿斯特捷利康
找有乙醯胺酚(Acetaminophen) 的止痛藥,阿斯特捷利康
rip,阿斯特捷利康
維他命c備妥 水慢慢喝個2500cc 好好,阿斯特捷利康
睡,阿斯特捷利康
多喝水,阿斯特捷利康
只有6個月,阿斯特捷利康
喝冷飲，睡覺,阿斯特捷利康
不確定的就問藥局 反正水多喝就對了,阿斯特捷利康
多喝水多休息啊，不然你還想幹嘛,阿斯特捷利康
運動飲料、普拿疼也備著 水+運動飲料對我,阿斯特捷利康
之前打疫苗後降溫有很大幫助 因後來沒升,阿斯特捷利康
溫到發燒 普拿疼倒是沒用到,阿斯特捷利康
票投DPP,阿斯特捷利康
一劑作用不大建議補一劑免登記的高端,阿斯特捷利康
，獻出你的手臂成為高端的一份子吧,阿斯特捷利康
時間一到 症狀就出現 還莫名準時的,阿斯特捷利康
幹樹洞,阿斯特捷利康
今晚不要吃鹹酥雞,阿斯特捷利康
為什麼不能吃,阿斯特捷利康
不戴口罩外出裸奔 選我正解,阿斯特捷利康
晚上會瘋掉，超痛苦,阿斯特捷利康
遺書寫好,阿斯特捷利康
我也吃藍色包的普拿疼  不是說太強效會影響,阿斯特捷利康
疫苗的效果嗎,阿斯特捷利康
當然是在線等莫德納,阿斯特捷利康
https//i.imgur.com/9yBQPSa.jpg,阿斯特捷利康
準備普拿疼 長袖衣物 和厚棉被,阿斯特捷利康
原來現在打完一劑AZ就可以有優越感了 看,阿斯特捷利康
了真可憐XD,阿斯特捷利康
等半夜被衝撞,阿斯特捷利康
阿茲特克揪團中,阿斯特捷利康
換打新阿姆斯特朗炫風噴射阿姆斯特朗,阿斯特捷利康
砲,阿斯特捷利康
等著半夜刺激的襲來，嘻嘻,阿斯特捷利康
退熱貼也可以準備 蠻舒服der,阿斯特捷利康
29h了目前全身稍微酸痛，體溫慢慢有點,阿斯特捷利康
升高，現在在泡維他命c發泡錠喝..,阿斯特捷利康
先躺好 然後就…,阿斯特捷利康
把床佈置得舒服一點，躺好，準備哀嚎,阿斯特捷利康
先跟家人說後事怎麼辦,阿斯特捷利康
做好準備 晚上最精彩,阿斯特捷利康
滾！這裡只歡迎高端戰士,阿斯特捷利康
吃止痛藥,阿斯特捷利康
28天內都別太開心！,阿斯特捷利康
趁早差點好吃的吧，把握時間,阿斯特捷利康
九天應元雷聲普化天尊預備,阿斯特捷利康
等著渡劫,阿斯特捷利康
昨天打 已經躺一整晚了,阿斯特捷利康
瘋狂做菜,阿斯特捷利康
24HR剛過 還在38度 但就是燒 其他症狀還好,阿斯特捷利康
你就慢慢爽啊 隔天只能睡午覺,阿斯特捷利康
趁現在喝咖啡因飲料,阿斯特捷利康
這幾天味覺有點異常,阿斯特捷利康
尻到出水，累了睡覺,阿斯特捷利康
恭喜,阿斯特捷利康
老王賣瓜,阿斯特捷利康
別吵 我只相信高端!,阿斯特捷利康
真超前部署,阿斯特捷利康
英國,阿斯特捷利康
專殺老人,阿斯特捷利康
屌打BNT 大家記得去打AZ,阿斯特捷利康
謝謝日本媽媽,阿斯特捷利康
所以保護力三個字的話呢,阿斯特捷利康
關鍵字：重症,阿斯特捷利康
版上繼續黑AZ 他們該不會知道全球最大抹,阿斯特捷利康
黑中心在台灣吧,阿斯特捷利康
那英國為何delta病毒也蠻嚴重的呢，記,阿斯特捷利康
重症兩字很難懂?殘國五毛毫無下線,阿斯特捷利康
得他們AZ施打比例算是高的,阿斯特捷利康
超前乞食,阿斯特捷利康
賽到的吧,阿斯特捷利康
廠就在英國 最快打 目標是混打跟第三劑了,阿斯特捷利康
喔 漏看重症兩字,阿斯特捷利康
他們國家打最多的也是AZ啊,阿斯特捷利康
因為英國現在面臨印度種 又是施打AZ最多,阿斯特捷利康
的國家,阿斯特捷利康
重症防禦力 所以還是會得,阿斯特捷利康
太棒了  4%跟韓粉都不要打,阿斯特捷利康
這麼好用，英國幹嘛延長封鎖？呵呵,阿斯特捷利康
現在是自己喊爽的嗎,阿斯特捷利康
五毛粉：我只相信中國科興,阿斯特捷利康
八卦抹黑列車,阿斯特捷利康
唯一支持高瑞,阿斯特捷利康
能防重症就是好疫苗,阿斯特捷利康
AZ起飛,阿斯特捷利康
唯一相信高端,阿斯特捷利康
看英國疫情 笑死…,阿斯特捷利康
問題是施打率不夠...沒打的被有打傳染,阿斯特捷利康
英國研究,阿斯特捷利康
重症防護,阿斯特捷利康
重症90%有點少ㄟ  之前是染疫80 重症100,阿斯特捷利康
看英國死亡數維持在個位數就知道啦,阿斯特捷利康
現在要看三劑跟混打  據說效果更好,阿斯特捷利康
popy8789大概覺得最近打疫苗猝死的 全,阿斯特捷利康
都是為了抹黑AZ才故意死掉的吧,阿斯特捷利康
高端問世之前給你吹一下牛無妨,阿斯特捷利康
英國雖然每天幾千確整 死亡數比台低,阿斯特捷利康
穩了,阿斯特捷利康
死亡數的問題明顯在台灣啊，其他國家對AZ,阿斯特捷利康
的疑慮是血栓的部分，台灣接種完死這麼多,阿斯特捷利康
AZ疫苗滿不錯的，大概是因為擋到別人財路,阿斯特捷利康
才被瘋狂攻擊吧,阿斯特捷利康
人，必須要找出一個答案，是因為人種不同,阿斯特捷利康
還是接種過程太過辛苦，累死老人家?,阿斯特捷利康
梅克爾不是也打AZ,阿斯特捷利康
AZ完全是利大於弊的疫苗 便宜好保存,阿斯特捷利康
AZ很好 不要搞混打,阿斯特捷利康
語畢 英國繼續封城一個月,阿斯特捷利康
支那人看不懂(看不到)重症的繁體啦,阿斯特捷利康
重症防護率高 所以英國死亡率明顯低,阿斯特捷利康
AZ真香~,阿斯特捷利康
就算打2劑BNT也還是有人中標好嗎~重點是預,阿斯特捷利康
防重症,阿斯特捷利康
穩了,阿斯特捷利康
變種前7成 變種後9成 真·超前防護,阿斯特捷利康
重症 中國疫苗也防,阿斯特捷利康
基進黨只打國產，,阿斯特捷利康
我們台灣價值粉只打沒三期數據的謝謝,阿斯特捷利康
再DLC打第三劑就好了,阿斯特捷利康
需要兩劑還是一劑就可以防重症？,阿斯特捷利康
應該是打完第二劑的數據吧,阿斯特捷利康
第二劑血栓會不會比較低阿 我比較關,阿斯特捷利康
心這個,阿斯特捷利康
防重症 但還是會被傳染？,阿斯特捷利康
az不錯啊 當時幹嘛一直黑,阿斯特捷利康
在智障八卦版AZ就是沒人要的東西,阿斯特捷利康
一堆垃圾亂洗,阿斯特捷利康
糟糕 原本不敢打的老人 大概又要搶著打AZ,阿斯特捷利康
又要搶著打az了,阿斯特捷利康
出貨文,阿斯特捷利康
英國不是正被印度變種弄到大爆發？,阿斯特捷利康
看完英國多少人打了AZ，誰信這種結,阿斯特捷利康
論,阿斯特捷利康
問問皇民那為何日本不要az,阿斯特捷利康
漢奸高端屌打,阿斯特捷利康
因為英國之前政策是優先給全部人打一劑,阿斯特捷利康
最近才改打兩劑的,阿斯特捷利康
國產我99%勒 AZ你太遜,阿斯特捷利康
搞到最後是疫苗剛病毒有屬性問題就是,阿斯特捷利康
有說法是 az太便宜 別的廠商會沒利,阿斯特捷利康
潤 才一直被黑,阿斯特捷利康
呃 那英國都到印度變種高的原因是？,阿斯特捷利康
"蟑螂看不懂何謂""重症防護力"".....",阿斯特捷利康
在那之前要通過血栓的試煉！,阿斯特捷利康
英國延長是因爲要讓還沒打疫苗的族群能,阿斯特捷利康
在這段時間施打 現在主要爆發是還沒打,阿斯特捷利康
的年輕人和只打一劑的人 但現在重症和,阿斯特捷利康
死亡沒大幅飆高 代表還是有ㄧ定的效果,阿斯特捷利康
莫德納跟輝瑞對印度變種病毒是一樣的,阿斯特捷利康
效力嗎？,阿斯特捷利康
台灣南部需要,阿斯特捷利康
反觀吳姓立委帶港商買疫苗,阿斯特捷利康
代工有機會 要用算了吧,阿斯特捷利康
有政府 會做事,阿斯特捷利康
不爽不要投：想太多,阿斯特捷利康
現在才開始蓋工廠要多久才會拿到疫苗啊？,阿斯特捷利康
台灣狗官直接拒絕代工 跟智障一樣,阿斯特捷利康
短視近利就：現在蓋何時才有疫苗？,阿斯特捷利康
台灣有疫苗工廠 不過不知道能不能跟上,阿斯特捷利康
台康生技傳出將獲國際新冠疫苗授權生產資格，牽動國產及,阿斯特捷利康
進口疫苗競合的敏感神經。國光生技（4142）總經理留忠正,阿斯特捷利康
表示，台康若與阿斯特捷利康藥廠合作生產疫苗，恐怕將無,阿斯特捷利康
多餘產能與國光合作，他也建議政府不需急著引進國外疫苗,阿斯特捷利康
來台,阿斯特捷利康
前兩天就傳出說日本要自製9000萬劑。,阿斯特捷利康
跟AZ在印度和深圳廠的產能脫鉤，這招算的比歐盟還準,阿斯特捷利康
時中：都怪外國超買，WHO又太混,阿斯特捷利康
前幾天日本不是才說要來台生產日本疫苗？,阿斯特捷利康
勝文有何感想?!,阿斯特捷利康
國王的標題,阿斯特捷利康
國王,阿斯特捷利康
標題呢,阿斯特捷利康
OK 我看到了,阿斯特捷利康
標題,阿斯特捷利康
英國製藥公司不能出口給英國喔,阿斯特捷利康
那個效果根本嘻嘻,阿斯特捷利康
歐盟真噁心 講仁義道德比誰都會,阿斯特捷利康
英國也不是歐盟了,阿斯特捷利康
感覺沒啥吧 疫苗說不定就是協議脫歐的其中一個條件,阿斯特捷利康
比支那疫苗好啊 嘻嘻,阿斯特捷利康
中國：我這有一批疫苗 很便宜的,阿斯特捷利康
現實就是幾個已發展經濟的國家都在搶Pfizer, Moderna
AZ的疫苗，中國爛疫苗完全在這些國家沒有市場，幾乎只,阿斯特捷利康
能拿去賣窮國,阿斯特捷利康
靠 那我們也拿不到了嗎？,阿斯特捷利康
台灣肯定要以最大的資源和談判力度去搶歐美三款疫苗，,阿斯特捷利康
當然目前談判保密很多訊息沒公開(不過從目前跡象來看最,阿斯特捷利康
後能買到歐美疫苗去打臉中國五毛的機率很大),阿斯特捷利康
阿聯、沙烏地、土耳其：原來我們是窮國呀,阿斯特捷利康
綠共連個疫苗都搞這麼久真的夠爛,阿斯特捷利康
樓上q大護航護的真辛苦...說綠共爛有這麼難嗎?,阿斯特捷利康
五毛真的腦殘到把土耳其這些國家當作已開發國家？,阿斯特捷利康
可能跟中國比，土耳其算不錯了,阿斯特捷利康
買中國疫苗裡經濟還不錯的也只有UAE，但離真正的已發展,阿斯特捷利康
國家還有一段距離,阿斯特捷利康
綠毛可憐蟲,阿斯特捷利康
在吹綠共好棒棒也是一份工作,阿斯特捷利康
台灣跟印度談牛津授權的那隻疫苗比較可能快點,阿斯特捷利康
中共病毒  全球蔓延,阿斯特捷利康
大鵬部長  超過一百分,阿斯特捷利康
繼續唬爛100% 最後說病毒變異,阿斯特捷利康
7414,阿斯特捷利康
炒股高手,阿斯特捷利康
看太快我以為是哪家賣矽利康的XD,阿斯特捷利康
吹成這樣AZN股價一樣 死魚盤,阿斯特捷利康
變殭屍嗎,阿斯特捷利康
部長先打,阿斯特捷利康
T病毒,阿斯特捷利康
(づ′・ω・）づ有超級英雄要誕生了嗎,阿斯特捷利康
無法解釋的疾病  怕,阿斯特捷利康
台灣生技的機會來了！,阿斯特捷利康
要進化囉,阿斯特捷利康
快逃R,阿斯特捷利康
無法解釋的疾病不會是生氣時全身都變綠色還很大隻吧,阿斯特捷利康
......無法解釋的疾病,阿斯特捷利康
變種人的時代要來了,阿斯特捷利康
要逃了嗎,阿斯特捷利康
小感冒嗎,阿斯特捷利康
無法解釋的疾病是什麼,阿斯特捷利康
無法解釋是三小,阿斯特捷利康
變成殭屍的小感冒,阿斯特捷利康
還有幾集,阿斯特捷利康
文雅點 叫做不可名狀,阿斯特捷利康
電影要成真了，怎麼辦？,阿斯特捷利康
癢  好吃,阿斯特捷利康
當初不是討厭英國脫歐,阿斯特捷利康
先叫who重組好嗎,阿斯特捷利康
昨天港仔不就證實了 有抗體還是會被別的病毒株感染,阿斯特捷利康
又牛津？是要疫苗和藥物都贏嗎？,阿斯特捷利康
沒差啦，都打3劑再來愛台灣啦，死,BioNTech
了是不能愛台灣的,BioNTech
這公告就證實BNT沒辦法和中華民國交易,BioNTech
只能民間對民間,BioNTech
Region ジ,BioNTech
817各種崩潰XDD,BioNTech
蟑螂有骨氣一點 發起拒打BNT啊,BioNTech
臺灣地區......,BioNTech
徐世榮表示,BioNTech
那些說中國加料的側翼可以去死了,BioNTech
中共同路人 沒有台灣價值,BioNTech
很高興提供台灣,但是你們政府一直擋
如果不是中國惡意代理 早就到貨,BioNTech
這批產地直送 要注意有無中國特務,BioNTech
上海復興？817綠共要心臟病發了,BioNTech
避免被加料,BioNTech
如果還有人再提繞過上海就是智障,BioNTech
中國復星在2020年3月就跟BNT布局了,BioNTech
那時候的CDC在幹嗎？,BioNTech
真的是硬要ㄝ,BioNTech
不會心臟病發阿 哪會 是美德疫苗直送,BioNTech
舔支德仔的話能信？,BioNTech
人家花大錢買代理權 反觀,BioNTech
台灣政府2020三月在幹嘛 還好意思講,BioNTech
超前部署,BioNTech
上海復星代理來也不知道幹嘛用這才好,BioNTech
笑,BioNTech
噁，有夠虛假,BioNTech
一堆蟑螂這麼晚還在上班,BioNTech
中國整天戰狼外交 結果代理美德疫苗,BioNTech
網紅牙醫：...........,BioNTech
子公司差別在哪裡,BioNTech
中共擋是不會買莫德納喔 自己有問題 工三,BioNTech
本來我們就是要英文原包裝的BNT,BioNTech
洨,BioNTech
理論上中國應賠償全世界防疫費用,BioNTech
終於超前部署了 結果是民間,BioNTech
台灣自己造成的人禍 要不要賠給人民,BioNTech
台德友好簡直是個笑話,BioNTech
要多買莫德納次世代疫苗了,BioNTech
民進黨快要求中國賠償 不賠斷晶片,BioNTech
啊 笑你他媽不敢啦操俗辣,BioNTech
哪裡人禍?,BioNTech
他說「上海復興來的我也不敢打….中國,BioNTech
人最常見就是不老實，這一批進來，到底,BioNTech
最後還不是沒跳過代理商,BioNTech
是真的疫苗、假的疫苗？是效期內還是過,BioNTech
期，是不是真正輝瑞的疫苗？」,BioNTech
產地直送的確就比較安全 謝謝BNT,BioNTech
民進黨也真夠蠢 還帶企業買BNT 不怕第二,BioNTech
劑被斷就是了,BioNTech
反正有人在FB洗腦洗認知  好可怕,BioNTech
中國真的不要再阻撓就好,BioNTech
某教授表示 那是中國製,BioNTech
怕中國阻擾 幹嘛不換莫德納？自己有問題,BioNTech
台德友好 齊心對抗病毒 世界加油！,BioNTech
要多買莫德納次世代了 你去做功課,BioNTech
德國政府：別再說我屈服於中國壓力,BioNTech
別鬧了 你現在就該換莫德納 交叉打效果不,BioNTech
好,BioNTech
德國那麼機車 還堅持跟他買 不是自己蠢嗎,BioNTech
次世代等簽了約再說吧被政府騙一年多了,BioNTech
1000萬劑足夠500萬人打兩劑,BioNTech
之後Delta需要第三劑怎麼辦？ 再卡一次？,BioNTech
有買到歐洲製的就好 最後兩段不理它,BioNTech
中國不要惡意代理 德國那會這樣,BioNTech
台德哪裡友好 真友好就繞過乞到惹,BioNTech
美日德 就德國最愛扯台灣後腿啦,BioNTech
那就333萬人打3劑,BioNTech
說人惡意代理 啊當初不會先代理？,BioNTech
原來正當投資簽代理是惡意代理XD,BioNTech
中國看到民主同盟 自然還會跳腳,BioNTech
疫苗廠找人合資 台灣在can help,BioNTech
德國在中國利益多龐大不知道嗎？還寄望台,BioNTech
德友好的人就是蠢,BioNTech
綠腦粉來點正常的吧,BioNTech
先代理怎麼不代理日本 代理到台灣,BioNTech
直接幫莫德納代工 反擊BNT才是正確作法,BioNTech
噁心，已讀不回三小，還不是為了晶片,BioNTech
德國就故意的啊 雙B在中國賺多少錢,BioNTech
說代理的 支那就敵對國把你當領土,BioNTech
2020三月在幹嘛？收拾中國拉的屎啊，那,BioNTech
麼早買疫苗你以為國民黨吃素啊？,BioNTech
BNT把台灣納入中國區 才是天大的笑話,BioNTech
搞得台灣買BNT彎來彎去,BioNTech
別騙了 喬利益才是真的 高端漲成那樣,BioNTech
